frame;Fx;Fy;Fz
0;0;0;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0.001892;-0.73504;0.147457
21;0.00641;-0.73515;0.147137
22;0.010928;-0.76937;0.15581
23;-0.001018;-0.84204;0.1758
24;-0.003955;-0.9039;0.192453
25;-0.004781;-0.9484;0.204413
26;-0.00541;-0.97189;0.21075
27;-0.00658;-0.9968;0.217532
28;-0.00658;-0.9968;0.217532
29;-0.007774;-1.02226;0.224449
30;-0.002721;-1.0759;0.238396
31;-0.010162;-1.07489;0.238701
32;-0.003016;-1.10389;0.245938
33;-0.011263;-1.10233;0.24611
34;-0.012131;-1.13121;0.25391
35;-0.012131;-1.13121;0.25391
36;-0.002721;-1.0759;0.238396
37;-0.011263;-1.10233;0.24611
38;-0.012131;-1.13121;0.25391
39;-0.012131;-1.13121;0.25391
40;-0.016308;-1.22654;0.279652
41;0;0;0
42;0;0;0
43;0;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;0;0;0
50;0;0;0
51;0;0;0
52;0;0;0
53;0;0;0
54;0;0;0
55;0;0;0
56;0;0;0
57;0;0;0
58;0;0;0
59;0;0;0
60;0.055234;-1.07447;0.234708
61;0.04164;-1.19581;0.267889
62;0.053779;-1.26029;0.284519
63;0.044392;-1.2962;0.294479
64;0.04441;-1.33331;0.304251
65;0.061263;-1.45067;0.334354
66;0.048332;-1.45137;0.335063
67;0.080573;-1.57934;0.366809
68;0.080573;-1.57934;0.366809
69;0.067198;-1.63095;0.380131
70;0.052023;-1.5849;0.369101
71;0.067198;-1.63095;0.380131
72;0.052666;-1.63342;0.381235
73;0.067198;-1.63095;0.380131
74;0.06954;-1.68143;0.392641
75;0.06954;-1.68143;0.392641
76;0.053438;-1.68316;0.393588
77;0.076101;-1.78664;0.418404
78;0.079736;-1.84181;0.431699
79;0.004747;-2.03128;0.477248
80;0;0;0
81;0;0;0
82;0;0;0
83;0;0;0
84;0;0;0
85;0;0;0
86;0;0;0
87;0;0;0
88;0;0;0
89;0;0;0
90;0;0;0
91;0;0;0
92;0;0;0
93;0;0;0
94;0;0;0
95;0;0;0
96;0;0;0
97;0;0;0
98;0;0;0
99;0;0;0
100;0.072022;-1.40799;0.322826
101;0.088856;-1.48856;0.343212
102;0.065234;-1.536;0.356281
103;0.037396;-1.58647;0.370044
104;0.038745;-1.6841;0.394418
105;0.039612;-1.73474;0.406932
106;0.041046;-1.84698;0.433655
107;0.041046;-1.84698;0.433655
108;0.023602;-1.96983;0.462503
109;0.004056;-2.10083;0.492013
110;0.003121;-2.17333;0.506999
111;-0.020781;-2.17263;0.507279
112;-0.021653;-2.24695;0.522407
113;-0.021653;-2.24695;0.522407
114;-0.021653;-2.24695;0.522407
115;0.002317;-2.2482;0.522173
116;0.001774;-2.32522;0.537525
117;0.002317;-2.2482;0.522173
118;-0.022262;-2.32342;0.537713
119;-0.046728;-2.31969;0.537706
120;0;0;0
121;0;0;0
122;0;0;0
123;0;0;0
124;0;0;0
125;0;0;0
126;0;0;0
127;0;0;0
128;0;0;0
129;0;0;0
130;0;0;0
131;0;0;0
132;0;0;0
133;0;0;0
134;0;0;0
135;0;0;0
136;0;0;0
137;0;0;0
138;0;0;0
139;0;0;0
140;-0.036252;-1.62889;0.384433
141;-0.063839;-1.83625;0.435893
142;-0.068156;-1.89709;0.449735
143;-0.092336;-1.95513;0.463644
144;-0.101821;-2.08621;0.492301
145;-0.097057;-2.01971;0.477874
