t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-2016.613	0.050235	-0.65994	0.130676	182.58	174.08	10.90	15.88446	15.144699	0.9484827
-733.595	0.00021	-0.72387	0.147136	185.06	174.47	11.81	16.099872	15.179238	1.0274961
55.40499997	-0.059701	-1.3029	0.296134	186.57	201.63	9.21	16.231764	17.54181	0.8012439
188.05	-0.036318	-2.28439	0.494384	183.08	226.76	6.73	15.928221	19.727946	0.58515504
320.9549999	-0.060635	-3.01365	0.574988	183.50	235.50	5.50	15.9645	20.4885	0.4785
453.7090001	-0.033976	-3.19443	0.581679	180.50	236.50	5.50	15.7035	20.5755	0.4785
588.569	-0.064448	-3.10224	0.577807	181.14	236.50	6.36	15.759354	20.575674	0.55360623
722.973	-0.138007	-3.18674	0.577706	181.20	236.29	6.59	15.764748	20.556969	0.573678
856.9679999	-0.071006	-3.28436	0.582621	180.64	236.76	6.52	15.715419	20.597685	0.56741313
991.207	-0.142736	-3.27555	0.580334	180.97	235.59	6.66	15.744651	20.496504	0.57959748
1125.666	-0.109796	-3.37157	0.583831	180.57	235.32	6.54	15.709242	20.472753	0.56889909
1260.118	-0.109796	-3.37157	0.583831	181.70	235.11	5.79	15.807813	20.454744	0.50354991
1395.187	-0.150343	-3.45605	0.585309	181.67	235.25	5.70	15.805638	20.466924	0.49590957
1532.344	-0.228058	-3.43798	0.583935	182.48	234.72	6.80	15.875499	20.420727	0.59203413
1665.065	-0.150343	-3.45605	0.585309	182.92	234.34	6.85	15.914388	20.387841	0.59564985
1798.779	-0.112412	-3.46366	0.586137	183.17	234.67	6.88	15.936051	20.415855	0.59870007
